ticker,holding_name,weight_pct,sector,region,market_value,shares
NVDA,NVIDIA Corp,4.5995,Technology,US,"US$3,362,450,950.80","15,925,220"
AAPL,Apple Inc,4.1829,Technology,US,"US$3,057,863,457.60","9,798,960"
MSFT,Microsoft Corp,3.1062,Technology,US,"US$2,270,784,089.28","5,043,497"
AMZN,Amazon.com Inc,2.4159,Consumer Discretionary,US,"US$1,766,135,204.72","6,525,773"
GOOGL,Alphabet Inc,2.0521,Technology,US,"US$1,500,207,390.90","3,944,385"
AVGO,Broadcom Inc,1.921,Technology,US,"US$1,404,339,736.09","3,143,317"
2330,Taiwan Semiconductor Manufacturing Co Ltd,1.6989,Technology,TW,"US$1,241,946,656.88","16,520,000"
GOOG,Alphabet Inc,1.6637,Technology,US,"US$1,216,202,416.98","3,230,886"
META,Meta Platforms Inc,1.2855,Technology,US,"US$939,794,743.18","1,485,818"
TSLA,Tesla Inc,1.1442,Consumer Discretionary,US,"US$836,471,450.23","1,919,437"
MU,Micron Technology Inc,1.0089,Technology,US,"US$737,518,195.00","759,545"
005930,Samsung Electronics Co Ltd,0.9246,Telecommunications,KR,"US$675,919,095.55","3,213,281"
LLY,Eli Lilly & Co,0.8239,Health Care,US,"US$602,325,555.00","545,091"
000660,SK hynix Inc,0.7853,Technology,KR,"US$574,103,773.06","370,842"
AMD,Advanced Micro Devices Inc,0.7736,Technology,US,"US$565,534,638.50","1,095,785"
BRK/B,Berkshire Hathaway Inc,0.66,Financials,US,"US$482,519,114.64","1,016,943"
JPM,JPMorgan Chase & Co,0.6196,Financials,US,"US$452,987,127.78","1,513,438"
ASML,ASML Holding NV,0.587,Technology,NL,"US$429,134,844.07","265,555"
XOM,Exxon Mobil Corp,0.5701,Energy,US,"US$416,779,556.22","2,869,197"
V,Visa Inc,0.5105,Industrials,US,"US$373,222,358.76","1,143,591"
JNJ,Johnson & Johnson,0.5033,Health Care,US,"US$367,943,384.97","1,632,909"
INTC,Intel Corp,0.4743,Technology,US,"US$346,734,635.96","3,023,497"
WMT,Walmart Inc,0.4676,Consumer Discretionary,US,"US$341,814,727.25","2,953,043"
CSCO,Cisco Systems Inc,0.4465,Telecommunications,US,"US$326,439,352.80","2,710,840"
COST,Costco Wholesale Corp,0.3939,Consumer Discretionary,US,"US$287,921,175.04","301,072"
CAT,Caterpillar Inc,0.3771,Industrials,US,"US$275,657,309.88","314,724"
LRCX,Lam Research Corp,0.3752,Technology,US,"US$274,325,568.78","862,171"
MA,Mastercard Inc,0.369,Industrials,US,"US$269,728,887.36","546,032"
ABBV,AbbVie Inc,0.3582,Health Care,US,"US$261,869,479.32","1,202,781"
ORCL,Oracle Corp,0.3539,Technology,US,"US$258,708,206.76","1,145,842"
NFLX,Netflix Inc,0.3385,Consumer Discretionary,US,"US$247,428,702.18","2,876,409"
AMAT,Applied Materials Inc,0.3343,Technology,US,"US$244,404,182.88","543,048"
UNH,UnitedHealth Group Inc,0.322,Health Care,US,"US$235,397,818.53","618,963"
PLTR,Palantir Technologies Inc,0.3181,Technology,US,"US$232,564,433.70","1,485,655"
CVX,Chevron Corp,0.3169,Energy,US,"US$231,668,367.24","1,269,694"
700,Tencent Holdings Ltd,0.3158,Technology,HK,"US$230,894,148.77","4,235,978"
GE,General Electric Co,0.3131,Industrials,US,"US$228,908,680.32","707,032"
PG,Procter & Gamble Co/The,0.3123,Consumer Staples,US,"US$228,328,303.88","1,590,473"
HSBA,HSBC Holdings PLC,0.2988,Financials,GB,"US$218,462,579.18","11,629,610"
HD,Home Depot Inc/The,0.2923,Consumer Discretionary,US,"US$213,682,589.20","673,780"
KO,Coca-Cola Co/The,0.2839,Consumer Staples,US,"US$207,537,226.21","2,626,721"
MRK,Merck & Co Inc,0.2742,Health Care,US,"US$200,472,966.40","1,688,620"
ROP,Roche Holding AG,0.2733,Health Care,CH,"US$199,816,635.44","474,117"
NOVN,Novartis AG,0.2679,Health Care,CH,"US$195,875,542.66","1,298,993"
BAC,Bank of America Corp,0.2657,Financials,US,"US$194,246,032.80","3,764,458"
TXN,Texas Instruments Inc,0.2607,Technology,US,"US$190,607,069.68","623,551"
9988,Alibaba Group Holding Ltd,0.2591,Consumer Discretionary,HK,"US$189,403,006.86","12,278,140"
AZN,AstraZeneca PLC,0.2589,Health Care,GB,"US$189,250,893.94","1,017,237"
IBM,International Business Machines Corp,0.2584,Technology,US,"US$188,923,128.80","634,396"
PM,Philip Morris International Inc,0.2566,Consumer Staples,US,"US$187,562,676.28","1,057,406"
QCOM,QUALCOMM Inc,0.25,Technology,US,"US$182,783,225.24","728,162"
RY,Royal Bank of Canada,0.247,Financials,CA,"US$180,588,591.69","940,742"
GEV,GE Vernova Inc,0.2443,Industrials,US,"US$178,618,243.84","184,462"
NESN,Nestle SA,0.2425,Consumer Staples,CH,"US$177,283,117.07","1,743,708"
KLAC,KLA Corp,0.238,Technology,US,"US$173,953,189.20","90,520"
GS,Goldman Sachs Group Inc/The,0.2292,Financials,US,"US$167,567,273.96","163,391"
SNDK,Sandisk Corp,0.2247,Technology,US,"US$164,252,036.90","96,905"
SHEL,Shell PLC,0.2244,Energy,GB,"US$164,065,555.53","3,903,620"
WFC,Wells Fargo & Co,0.2242,Financials,US,"US$163,896,685.70","2,113,705"
RTX,RTX Corp,0.2234,Industrials,US,"US$163,283,991.00","908,850"
MS,Morgan Stanley,0.2218,Financials,US,"US$162,136,832.00","779,504"
LIN,Linde PLC,0.2187,Basic Materials,US,"US$159,911,778.52","321,308"
SIE,Siemens AG,0.2159,Industrials,DE,"US$157,862,647.59","501,401"
PANW,Palo Alto Networks Inc,0.2121,Technology,US,"US$155,050,626.70","550,430"
BHP,BHP Group Ltd,0.2033,Basic Materials,AU,"US$148,588,269.89","3,314,332"
8306,Mitsubishi UFJ Financial Group Inc,0.1912,Financials,JP,"US$139,767,453.99","7,419,000"
ADI,Analog Devices Inc,0.1907,Technology,US,"US$139,433,100.45","336,917"
7203,Toyota Motor Corp,0.1887,Consumer Discretionary,JP,"US$137,961,264.02","7,219,610"
VZ,Verizon Communications Inc,0.1878,Telecommunications,US,"US$137,280,438.75","2,871,375"
MCD,McDonald's Corp,0.1845,Consumer Discretionary,US,"US$134,846,620.00","482,975"
CBA,Commonwealth Bank of Australia,0.1836,Financials,AU,"US$134,202,882.36","1,130,302"
PEP,PepsiCo Inc,0.183,Consumer Staples,US,"US$133,755,690.65","927,635"
TD,Toronto-Dominion Bank/The,0.1811,Financials,CA,"US$132,414,609.09","1,156,309"
STX,Seagate Technology Holdings PLC,0.1773,Technology,US,"US$129,589,261.20","147,294"
SAP,SAP SE,0.1744,Technology,DE,"US$127,460,771.27","703,501"
TMO,Thermo Fisher Scientific Inc,0.1717,Health Care,US,"US$125,533,411.35","254,885"
9984,SoftBank Group Corp,0.1709,Telecommunications,JP,"US$124,964,505.31","2,655,600"
SAN,Banco Santander SA,0.1702,Financials,ES,"US$124,424,754.52","9,938,842"
NEE,NextEra Energy Inc,0.1694,Utilities,US,"US$123,809,922.39","1,422,939"
AMGN,Amgen Inc,0.1692,Health Care,US,"US$123,722,500.82","367,358"
DIS,Walt Disney Co/The,0.1691,Consumer Discretionary,US,"US$123,593,413.09","1,213,723"
APH,Amphenol Corp,0.1685,Technology,US,"US$123,158,850.28","827,903"
2454,MediaTek Inc,0.1682,Technology,TW,"US$122,961,202.22","893,694"
CRWD,Crowdstrike Holdings Inc,0.167,Technology,US,"US$122,117,205.00","167,055"
WDC,Western Digital Corp,0.1667,Technology,US,"US$121,856,917.95","229,395"
CRM,Salesforce Inc,0.1628,Technology,US,"US$119,008,671.60","622,756"
BA,Boeing Co/The,0.1625,Industrials,US,"US$118,776,196.35","513,849"
C,Citigroup Inc,0.162,Financials,US,"US$118,453,015.00","940,850"
MRVL,Marvell Technology Inc,0.1609,Technology,US,"US$117,621,825.00","573,765"
TJX,TJX Cos Inc/The,0.1603,Consumer Discretionary,US,"US$117,185,985.00","757,260"
T,AT&T Inc,0.1595,Telecommunications,US,"US$116,618,230.40","4,702,348"
SU,Schneider Electric SE,0.1574,Industrials,FR,"US$115,088,729.93","365,340"
AXP,American Express Co,0.1572,Industrials,US,"US$114,891,585.27","363,041"
ABBN,ABB Ltd,0.1567,Industrials,CH,"US$114,544,791.78","1,070,313"
GILD,Gilead Sciences Inc,0.1565,Health Care,US,"US$114,424,261.83","851,181"
ALV,Allianz SE,0.1545,Financials,DE,"US$112,910,098.50","253,555"
ANET,Arista Networks Inc,0.1525,Telecommunications,US,"US$111,491,058.45","699,135"
TTE,TotalEnergies SE,0.1491,Energy,FR,"US$109,004,999.18","1,242,487"
BRK/A,Berkshire Hathaway Inc,0.1468,Financials,US,"US$107,345,900.00",151
ETN,Eaton Corp PLC,0.1461,Industrials,US,"US$106,825,999.00","266,665"
BLK,BlackRock Funding Inc/DE,0.1457,Financials,US,"US$106,526,321.28","101,756"
UNP,Union Pacific Corp,0.1451,Industrials,US,"US$106,085,023.52","403,918"
8035,Tokyo Electron Ltd,0.1441,Technology,JP,"US$105,370,160.19","319,990"
RR/,Rolls-Royce Holdings PLC,0.1421,Industrials,GB,"US$103,860,654.31","5,761,240"
IBE,Iberdrola SA,0.1408,Utilities,ES,"US$102,918,800.55","4,522,805"
ISRG,Intuitive Surgical Inc,0.1401,Health Care,US,"US$102,398,114.24","241,141"
HON,Honeywell International Inc,0.1388,Industrials,US,"US$101,441,105.64","426,474"
UBSG,UBS Group AG,0.1381,Financials,CH,"US$100,990,139.53","2,130,363"
ABT,Abbott Laboratories,0.138,Health Care,US,"US$100,880,028.00","1,178,505"
PFE,Pfizer Inc,0.137,Health Care,US,"US$100,181,042.50","3,826,625"
SCHW,Charles Schwab Corp/The,0.1362,Financials,US,"US$99,537,683.45","1,139,527"
COP,ConocoPhillips,0.135,Energy,US,"US$98,705,654.18","865,991"
APP,AppLovin Corp,0.1347,Technology,US,"US$98,468,384.90","160,610"
NOVOB,Novo Nordisk A/S,0.1343,Health Care,DK,"US$98,210,134.66","2,147,012"
6501,Hitachi Ltd,0.1335,Industrials,JP,"US$97,563,052.96","3,006,400"
UBER,Uber Technologies Inc,0.1326,Consumer Discretionary,US,"US$96,897,996.80","1,376,392"
GLW,Corning Inc,0.1319,Technology,US,"US$96,427,301.32","532,277"
MC,LVMH Moet Hennessy Louis Vuitton SE,0.1316,Consumer Discretionary,FR,"US$96,210,349.12","174,286"
ENR,Siemens Energy AG,0.1316,Energy,DE,"US$96,189,206.86","504,949"
WELL,Welltower Inc,0.1315,Real Estate,US,"US$96,117,642.29","468,113"
SHOP,Shopify Inc,0.1291,Technology,CA,"US$94,365,527.68","790,665"
BKNG,Booking Holdings Inc,0.1279,Consumer Discretionary,US,"US$93,530,081.46","558,622"
2308,Delta Electronics Inc,0.1273,Industrials,TW,"US$93,063,136.90","1,192,331"
8316,Sumitomo Mitsui Financial Group Inc,0.1263,Financials,JP,"US$92,327,597.21","2,525,800"
DE,Deere & Co,0.1242,Industrials,US,"US$90,763,100.72","167,404"
BATS,British American Tobacco PLC,0.1231,Consumer Staples,GB,"US$89,986,018.52","1,454,099"
BBVA,Banco Bilbao Vizcaya Argentaria SA,0.123,Financials,ES,"US$89,926,892.34","3,831,998"
NOW,ServiceNow Inc,0.1228,Technology,US,"US$89,774,245.84","721,832"
UCG,UniCredit SpA,0.1217,Financials,IT,"US$88,978,259.36","1,027,055"
PLD,Prologis Inc,0.1214,Real Estate,US,"US$88,751,259.35","618,605"
DELL,Dell Technologies Inc,0.1211,Technology,US,"US$88,551,045.80","210,380"
6758,Sony Group Corp,0.121,Consumer Discretionary,JP,"US$88,424,629.69","4,087,200"
SPGI,S&P Global Inc,0.1202,Financials,US,"US$87,898,168.00","207,307"
SAF,Safran SA,0.1174,Industrials,FR,"US$85,821,553.00","240,574"
IFX,Infineon Technologies AG,0.1173,Technology,DE,"US$85,775,196.76","906,223"
AIR,Airbus SE,0.113,Industrials,FR,"US$82,588,816.70","393,841"
6857,Advantest Corp,0.1129,Technology,JP,"US$82,509,724.23","501,900"
NEM,Newmont Corp,0.1127,Basic Materials,US,"US$82,405,926.21","750,441"
ULVR,Unilever PLC,0.1115,Consumer Staples,GB,"US$81,521,816.43","1,438,078"
VRT,Vertiv Holdings Co,0.1112,Technology,US,"US$81,253,966.99","257,369"
LOW,Lowe's Cos Inc,0.1106,Consumer Discretionary,US,"US$80,878,456.72","377,302"
ENB,Enbridge Inc,0.1104,Energy,CA,"US$80,675,986.06","1,469,265"
MO,Altria Group Inc,0.1087,Consumer Staples,US,"US$79,431,693.04","1,141,588"
COF,Capital One Financial Corp,0.1082,Industrials,US,"US$79,116,650.70","420,990"
BMO,Bank of Montreal,0.108,Financials,CA,"US$78,922,259.50","485,506"
BMY,Bristol-Myers Squibb Co,0.1078,Health Care,US,"US$78,809,535.78","1,378,271"
ACN,Accenture PLC,0.1078,Industrials,US,"US$78,770,126.11","421,073"
2317,Hon Hai Precision Industry Co Ltd,0.1074,Technology,TW,"US$78,515,309.28","8,510,489"
DTE,Deutsche Telekom AG,0.1073,Telecommunications,DE,"US$78,432,599.95","2,328,885"
CVS,CVS Health Corp,0.1065,Consumer Staples,US,"US$77,850,039.34","855,683"
DHR,Danaher Corp,0.1065,Health Care,US,"US$77,817,968.01","426,003"
VRTX,Vertex Pharmaceuticals Inc,0.1064,Health Care,US,"US$77,808,409.32","173,858"
CFR,Cie Financiere Richemont SA,0.1051,Consumer Discretionary,CH,"US$76,851,823.77","355,525"
CB,Chubb Ltd,0.1047,Financials,US,"US$76,551,847.83","245,571"
SBUX,Starbucks Corp,0.1039,Consumer Discretionary,US,"US$75,970,640.72","766,142"
RIO,Rio Tinto PLC,0.1039,Basic Materials,GB,"US$75,928,107.88","706,935"
PGR,Progressive Corp/The,0.1039,Financials,US,"US$75,919,524.80","398,737"
1299,AIA Group Ltd,0.1024,Financials,HK,"US$74,845,044.27","7,131,800"
BP/,BP PLC,0.102,Energy,GB,"US$74,539,893.43","10,597,683"
8411,Mizuho Financial Group Inc,0.1016,Financials,JP,"US$74,301,177.21","1,643,920"
LMT,Lockheed Martin Corp,0.1016,Industrials,US,"US$74,266,182.70","140,006"
ADBE,Adobe Inc,0.1004,Technology,US,"US$73,427,453.54","283,274"
005935,Samsung Electronics Co Ltd,0.099,Telecommunications,KR,"US$72,395,160.92","538,763"
BNP,BNP Paribas SA,0.099,Financials,FR,"US$72,377,008.96","667,266"
ZURN,Zurich Insurance Group AG,0.0988,Financials,CH,"US$72,202,911.63","101,285"
PWR,Quanta Services Inc,0.098,Industrials,US,"US$71,617,119.52","100,624"
PH,Parker-Hannifin Corp,0.0979,Industrials,US,"US$71,570,567.68","84,736"
ISP,Intesa Sanpaolo SpA,0.0976,Financials,IT,"US$71,330,534.51","10,526,195"
SYK,Stryker Corp,0.0972,Health Care,US,"US$71,064,308.61","232,929"
8058,Mitsubishi Corp,0.0968,Industrials,JP,"US$70,777,639.93","2,224,500"
EQIX,Equinix Inc,0.0962,Real Estate,US,"US$70,312,277.32","65,833"
HWM,Howmet Aerospace Inc,0.096,Industrials,US,"US$70,200,355.75","271,831"
CDNS,Cadence Design Systems Inc,0.095,Technology,US,"US$69,442,659.95","185,215"
CM,Canadian Imperial Bank of Commerce,0.095,Financials,CA,"US$69,438,208.62","635,621"
GSK,GSK PLC,0.0935,Health Care,GB,"US$68,340,390.13","2,694,632"
SO,Southern Co/The,0.0934,Utilities,US,"US$68,256,823.95","741,519"
TT,Trane Technologies PLC,0.093,Industrials,US,"US$67,959,913.10","150,587"
6981,Murata Manufacturing Co Ltd,0.0927,Technology,JP,"US$67,754,098.88","1,120,600"
939,China Construction Bank Corp,0.092,Financials,HK,"US$67,244,907.75","62,076,000"
RELIANCE,Reliance Industries Ltd,0.0911,Energy,IN,"US$66,563,710.98","4,786,219"
CME,CME Group Inc,0.0908,Financials,US,"US$66,383,781.36","242,684"
DBS,DBS Group Holdings Ltd,0.0906,Financials,SG,"US$66,227,501.47","1,344,100"
BNS,Bank of Nova Scotia/The,0.0895,Financials,CA,"US$65,400,426.28","814,431"
BN,Brookfield Corp,0.0892,Financials,CA,"US$65,185,203.32","1,429,643"
MDT,Medtronic PLC,0.0887,Health Care,US,"US$64,821,344.39","878,219"
BNY,Bank of New York Mellon Corp/The,0.0879,Financials,US,"US$64,281,134.04","461,028"
AEM,Agnico Eagle Mines Ltd,0.0876,Basic Materials,CA,"US$64,024,055.87","347,942"
DUK,Duke Energy Corp,0.0872,Utilities,US,"US$63,745,593.81","519,397"
FCX,Freeport-McMoRan Inc,0.0872,Basic Materials,US,"US$63,722,732.47","969,757"
SAN,Sanofi SA,0.0869,Health Care,FR,"US$63,554,869.46","723,368"
MCK,McKesson Corp,0.0869,Consumer Staples,US,"US$63,513,514.68","85,547"
CNQ,Canadian Natural Resources Ltd,0.0857,Energy,CA,"US$62,662,768.25","1,376,732"
SNPS,Synopsys Inc,0.0856,Technology,US,"US$62,590,165.14","131,597"
INGA,ING Groep NV,0.085,Financials,NL,"US$62,156,942.02","1,994,923"
6098,Recruit Holdings Co Ltd,0.0843,Industrials,JP,"US$61,633,810.10","928,239"
TMUS,T-Mobile US Inc,0.0842,Telecommunications,US,"US$61,547,908.59","328,203"
INTU,Intuit Inc,0.0838,Technology,US,"US$61,271,053.89","184,813"
4063,Shin-Etsu Chemical Co Ltd,0.0838,Basic Materials,JP,"US$61,256,474.02","1,256,950"
ADP,Automatic Data Processing Inc,0.0835,Industrials,US,"US$61,025,078.24","275,086"
CEG,Constellation Energy Corp,0.0832,Utilities,US,"US$60,835,241.75","211,417"
CMCSA,Comcast Corp,0.0831,Telecommunications,US,"US$60,728,063.40","2,441,820"
CMI,Cummins Inc,0.0824,Industrials,US,"US$60,217,418.75","93,125"
WBC,Westpac Banking Corp,0.0819,Financials,AU,"US$59,897,023.47","2,312,448"
FDX,FedEx Corp,0.0816,Industrials,US,"US$59,682,339.00","144,948"
HDFCB,HDFC Bank Ltd,0.081,Financials,IN,"US$59,241,547.15","7,558,857"
FTNT,Fortinet Inc,0.081,Technology,US,"US$59,217,689.79","429,207"
6861,Keyence Corp,0.0808,Industrials,JP,"US$59,029,480.50","117,300"
AMT,American Tower Corp,0.0807,Real Estate,US,"US$59,021,589.36","315,691"
GD,General Dynamics Corp,0.0807,Industrials,US,"US$58,963,561.84","170,012"
WMB,Williams Cos Inc/The,0.0798,Energy,US,"US$58,356,399.09","817,431"
ENEL,Enel SpA,0.0797,Utilities,IT,"US$58,248,622.49","5,186,002"
009150,Samsung Electro-Mechanics Co Ltd,0.0796,Technology,KR,"US$58,201,043.13","41,236"
BX,Blackstone Inc,0.0795,Financials,US,"US$58,143,096.69","497,077"
BARC,Barclays PLC,0.0789,Financials,GB,"US$57,644,044.47","9,338,188"
SLB,SLB Ltd,0.0784,Energy,US,"US$57,317,812.45","1,050,739"
PNC,PNC Financial Services Group Inc/The,0.0782,Financials,US,"US$57,181,632.00","258,600"
CSX,CSX Corp,0.0781,Industrials,US,"US$57,125,044.78","1,262,153"
MAR,Marriott International Inc/MD,0.0781,Consumer Discretionary,US,"US$57,071,668.80","151,948"
6503,Mitsubishi Electric Corp,0.0779,Industrials,JP,"US$56,978,263.71","1,383,100"
8031,Mitsui & Co Ltd,0.0779,Industrials,JP,"US$56,914,272.25","1,712,700"
JCI,Johnson Controls International plc,0.0778,Industrials,US,"US$56,899,085.80","424,430"
SNOW,Snowflake Inc,0.0777,Technology,US,"US$56,799,565.20","222,264"
9983,Fast Retailing Co Ltd,0.077,Consumer Discretionary,JP,"US$56,320,981.22","108,900"
CIEN,Ciena Corp,0.0769,Telecommunications,US,"US$56,232,410.22","96,914"
ICE,Intercontinental Exchange Inc,0.0765,Financials,US,"US$55,910,808.15","378,159"
USB,US Bancorp,0.0765,Financials,US,"US$55,890,669.05","1,018,973"
BA/,BAE Systems PLC,0.0763,Industrials,GB,"US$55,775,878.09","2,045,393"
NXPI,NXP Semiconductors NV,0.0759,Technology,US,"US$55,501,001.20","172,712"
GLEN,Glencore PLC,0.0758,Basic Materials,GB,"US$55,443,724.15","7,244,080"
NAB,National Australia Bank Ltd,0.0758,Financials,AU,"US$55,439,550.31","2,064,101"
LLOY,Lloyds Banking Group PLC,0.0754,Financials,GB,"US$55,107,749.55","40,120,351"
MMM,3M Co,0.0754,Industrials,US,"US$55,095,714.61","359,797"
CP,Canadian Pacific Kansas City Ltd,0.0748,Industrials,CA,"US$54,650,394.90","611,565"
EMR,Emerson Electric Co,0.0747,Industrials,US,"US$54,638,512.38","379,909"
MDLZ,Mondelez International Inc,0.0747,Consumer Staples,US,"US$54,612,392.49","892,797"
8766,Tokio Marine Holdings Inc,0.0747,Financials,JP,"US$54,608,942.14","1,222,500"
ELV,Elevance Health Inc,0.0741,Health Care,US,"US$54,162,708.88","137,752"
MELI,MercadoLibre Inc,0.074,Consumer Discretionary,US,"US$54,099,713.25","31,905"
NOKIA,Nokia Oyj,0.0739,Telecommunications,FI,"US$54,052,819.16","3,708,546"
8001,ITOCHU Corp,0.0735,Industrials,JP,"US$53,713,498.96","4,417,800"
MRSH,Marsh & McLennan Cos Inc,0.073,Financials,US,"US$53,377,669.81","333,673"
NG/,National Grid PLC,0.073,Utilities,GB,"US$53,374,812.35","3,312,173"
ANZ,ANZ Group Holdings Ltd,0.0725,Financials,AU,"US$52,966,286.57","2,091,347"
SU,Suncor Energy Inc,0.0724,Energy,CA,"US$52,897,076.66","845,635"
UPS,United Parcel Service Inc,0.0722,Industrials,US,"US$52,781,570.11","494,719"
WM,Waste Management Inc,0.072,Utilities,US,"US$52,660,306.72","249,032"
GM,General Motors Co,0.0709,Consumer Discretionary,US,"US$51,850,695.44","622,906"
7011,Mitsubishi Heavy Industries Ltd,0.0709,Industrials,JP,"US$51,819,363.03","2,167,400"
MPWR,Monolithic Power Systems Inc,0.0708,Technology,US,"US$51,782,035.02","33,062"
NOC,Northrop Grumman Corp,0.0707,Industrials,US,"US$51,709,748.48","91,736"
SPOT,Spotify Technology SA,0.0707,Consumer Discretionary,US,"US$51,678,593.52","103,839"
EOG,EOG Resources Inc,0.0704,Energy,US,"US$51,502,686.30","386,135"
ABI,Anheuser-Busch InBev SA/NV,0.0704,Consumer Staples,BE,"US$51,434,357.82","638,781"
NET,Cloudflare Inc,0.0699,Technology,US,"US$51,094,873.26","211,293"
DDOG,Datadog Inc,0.0697,Technology,US,"US$50,938,516.95","205,937"
MPC,Marathon Petroleum Corp,0.0697,Energy,US,"US$50,927,448.09","204,717"
CRH,CRH PLC,0.0696,Industrials,US,"US$50,873,032.54","467,626"
HLT,Hilton Worldwide Holdings Inc,0.0694,Consumer Discretionary,US,"US$50,724,061.62","154,807"
ROST,Ross Stores Inc,0.0688,Consumer Discretionary,US,"US$50,328,511.78","217,186"
