etf_id,as_of_date,ticker,holding_name,weight_pct,sector,region,source
VWCE,2026-05-31,NVDA,NVIDIA Corp,4.5995,Technology,US,issuer
VWCE,2026-05-31,AAPL,Apple Inc,4.1829,Technology,US,issuer
VWCE,2026-05-31,MSFT,Microsoft Corp,3.1062,Technology,US,issuer
VWCE,2026-05-31,AMZN,Amazon.com Inc,2.4159,Consumer Discretionary,US,issuer
VWCE,2026-05-31,GOOGL,Alphabet Inc,2.0521,Technology,US,issuer
VWCE,2026-05-31,AVGO,Broadcom Inc,1.921,Technology,US,issuer
VWCE,2026-05-31,2330,Taiwan Semiconductor Manufacturing Co Ltd,1.6989,Technology,TW,issuer
VWCE,2026-05-31,GOOG,Alphabet Inc,1.6637,Technology,US,issuer
VWCE,2026-05-31,META,Meta Platforms Inc,1.2855,Technology,US,issuer
VWCE,2026-05-31,TSLA,Tesla Inc,1.1442,Consumer Discretionary,US,issuer
VWCE,2026-05-31,MU,Micron Technology Inc,1.0089,Technology,US,issuer
VWCE,2026-05-31,005930,Samsung Electronics Co Ltd,0.9246,Telecommunications,KR,issuer
VWCE,2026-05-31,LLY,Eli Lilly & Co,0.8239,Health Care,US,issuer
VWCE,2026-05-31,000660,SK hynix Inc,0.7853,Technology,KR,issuer
VWCE,2026-05-31,AMD,Advanced Micro Devices Inc,0.7736,Technology,US,issuer
VWCE,2026-05-31,BRK/B,Berkshire Hathaway Inc,0.66,Financials,US,issuer
VWCE,2026-05-31,JPM,JPMorgan Chase & Co,0.6196,Financials,US,issuer
VWCE,2026-05-31,ASML,ASML Holding NV,0.587,Technology,NL,issuer
VWCE,2026-05-31,XOM,Exxon Mobil Corp,0.5701,Energy,US,issuer
VWCE,2026-05-31,V,Visa Inc,0.5105,Industrials,US,issuer
VWCE,2026-05-31,JNJ,Johnson & Johnson,0.5033,Health Care,US,issuer
VWCE,2026-05-31,INTC,Intel Corp,0.4743,Technology,US,issuer
VWCE,2026-05-31,WMT,Walmart Inc,0.4676,Consumer Discretionary,US,issuer
VWCE,2026-05-31,CSCO,Cisco Systems Inc,0.4465,Telecommunications,US,issuer
VWCE,2026-05-31,COST,Costco Wholesale Corp,0.3939,Consumer Discretionary,US,issuer
VWCE,2026-05-31,CAT,Caterpillar Inc,0.3771,Industrials,US,issuer
VWCE,2026-05-31,LRCX,Lam Research Corp,0.3752,Technology,US,issuer
VWCE,2026-05-31,MA,Mastercard Inc,0.369,Industrials,US,issuer
VWCE,2026-05-31,ABBV,AbbVie Inc,0.3582,Health Care,US,issuer
VWCE,2026-05-31,ORCL,Oracle Corp,0.3539,Technology,US,issuer
VWCE,2026-05-31,NFLX,Netflix Inc,0.3385,Consumer Discretionary,US,issuer
VWCE,2026-05-31,AMAT,Applied Materials Inc,0.3343,Technology,US,issuer
VWCE,2026-05-31,UNH,UnitedHealth Group Inc,0.322,Health Care,US,issuer
VWCE,2026-05-31,PLTR,Palantir Technologies Inc,0.3181,Technology,US,issuer
VWCE,2026-05-31,CVX,Chevron Corp,0.3169,Energy,US,issuer
VWCE,2026-05-31,700,Tencent Holdings Ltd,0.3158,Technology,HK,issuer
VWCE,2026-05-31,GE,General Electric Co,0.3131,Industrials,US,issuer
VWCE,2026-05-31,PG,Procter & Gamble Co/The,0.3123,Consumer Staples,US,issuer
VWCE,2026-05-31,HSBA,HSBC Holdings PLC,0.2988,Financials,GB,issuer
VWCE,2026-05-31,HD,Home Depot Inc/The,0.2923,Consumer Discretionary,US,issuer
VWCE,2026-05-31,KO,Coca-Cola Co/The,0.2839,Consumer Staples,US,issuer
VWCE,2026-05-31,MRK,Merck & Co Inc,0.2742,Health Care,US,issuer
VWCE,2026-05-31,ROP,Roche Holding AG,0.2733,Health Care,CH,issuer
VWCE,2026-05-31,NOVN,Novartis AG,0.2679,Health Care,CH,issuer
VWCE,2026-05-31,BAC,Bank of America Corp,0.2657,Financials,US,issuer
VWCE,2026-05-31,TXN,Texas Instruments Inc,0.2607,Technology,US,issuer
VWCE,2026-05-31,9988,Alibaba Group Holding Ltd,0.2591,Consumer Discretionary,HK,issuer
VWCE,2026-05-31,AZN,AstraZeneca PLC,0.2589,Health Care,GB,issuer
VWCE,2026-05-31,IBM,International Business Machines Corp,0.2584,Technology,US,issuer
VWCE,2026-05-31,PM,Philip Morris International Inc,0.2566,Consumer Staples,US,issuer
VWCE,2026-05-31,QCOM,QUALCOMM Inc,0.25,Technology,US,issuer
VWCE,2026-05-31,RY,Royal Bank of Canada,0.247,Financials,CA,issuer
VWCE,2026-05-31,GEV,GE Vernova Inc,0.2443,Industrials,US,issuer
VWCE,2026-05-31,NESN,Nestle SA,0.2425,Consumer Staples,CH,issuer
VWCE,2026-05-31,KLAC,KLA Corp,0.238,Technology,US,issuer
VWCE,2026-05-31,GS,Goldman Sachs Group Inc/The,0.2292,Financials,US,issuer
VWCE,2026-05-31,SNDK,Sandisk Corp,0.2247,Technology,US,issuer
VWCE,2026-05-31,SHEL,Shell PLC,0.2244,Energy,GB,issuer
VWCE,2026-05-31,WFC,Wells Fargo & Co,0.2242,Financials,US,issuer
